age	income
54	162238
44	98779
52	165001
18	78528
55	353881
35	251396
37	178100
22	416165
45	177536
38	203717
48	107231
35	106448
21	196816
37	191342
18	170194
26	113587
48	72425
51	217480
52	120914
32	33945
39	199753
51	144284
54	53833
21	151158
43	125577
32	242323
31	195181
73	145748
26	341672
35	116369
73	113446
25	121285
58	25124
32	182274
28	103548
41	38434
53	317313
49	177543
55	139834
29	118478
28	147951
44	201734
41	198196
26	141876
23	325179
37	143774
23	152328
33	479600
44	180599
21	448026
36	300333
44	184105
23	202084
26	29515
32	247328
31	188246
50	105788
18	352640
49	132576
59	128829
38	93140
50	155965
51	335902
22	158522
54	174806
37	32207
31	43607
67	168224
43	180318
21	311376
30	101562
32	267859
36	86143
33	217304
37	410034
29	293073
18	39493
26	247425
51	128338
39	189344
18	366154
52	163051
31	437200
45	323798
38	182570
21	200318
33	48520
39	130007
31	166248
43	203554
64	192715
33	291333
49	39140
41	266439
55	126840
52	166419
42	287129
24	206827
42	173888
41	253250
35	337239
71	113445
54	201127
24	403107
59	179078
30	126402
57	223892
58	191318
32	394708
22	119474
20	419984
60	164730
51	190678
26	197897
33	286675
19	191986
50	90525
32	56150
51	248327
18	90860
35	104858
22	228686
46	196707
37	29430
45	54038
63	281025
53	258832
24	131220
65	190454
43	315971
47	265097
41	185057
27	169557
35	333636
19	181652
47	34307
25	198813
59	240030
28	226089
17	190941
21	160261
31	208458
49	112761
48	67716
60	121076
33	182556
40	231348
42	55395
34	344073
38	318912
58	237546
20	346341
52	305090
22	198478
24	321435
39	259716
41	191547
37	171482
56	225927
21	256504
29	168526
45	44489
44	159449
54	387540
24	314819
40	34722
43	125831
20	239805
41	264663
32	294121
31	83912
26	241626
50	137815
62	153891
24	83774
58	199067
44	57233
44	211517
37	132879
65	72776
33	54318
34	143582
56	174564
35	179579
33	187618
35	186819
47	60087
35	28987
56	187355
29	218555
53	94214
42	204729
20	281668
24	236696
33	179747
42	187322
38	116975
32	205950
20	190968
32	160458
28	190911
51	85382
41	129793
37	270181
23	243723
40	168113
47	652784
46	315984
24	311311
40	111336
30	100252
41	186990
37	241633
49	252616
41	46366
52	266138
23	32732
34	361978
25	77661
44	60087
31	197550
53	170701
62	159822
35	211494
30	340899
48	224752
36	102568
32	220690
22	303170
17	143331
19	192162
26	201635
20	55263
56	133728
45	347025
23	110998
31	122347
30	127875
42	167534
27	152560
37	265144
31	302679
33	290763
64	86837
32	147118
62	103575
37	169469
25	189334
49	139571
36	111545
67	72776
54	307973
45	211666
30	143766
39	112812
57	43290
57	111385
23	145744
49	126754
46	54260
41	34895
44	166740
25	143062
34	191957
24	109456
32	198183
27	157449
67	53874
36	191754
40	320071
24	164574
46	185870
44	165745
23	40323
46	199378
31	289889
21	152200
61	198231
71	28865
42	26915
27	108926
21	204034
21	243368
28	191088
27	194515
32	28984
47	125892
22	37932
56	249751
20	191948
30	97306
22	176178
28	142764
50	148431
66	148380
38	314890
62	177493
36	327435
47	275967
25	176520
26	186463
37	50380
70	323987
52	192445
70	142851
19	42750
23	199011
37	98644
37	173963
45	284763
29	108775
56	233312
50	197826
20	123007
26	264012
41	214247
21	200121
48	138069
22	33551
37	89083
47	369438
61	93997
47	169699
37	115429
46	96652
42	103759
41	54422
33	107215
24	194630
27	102142
40	134638
56	46920
35	207973
24	208946
73	252431
36	251730
31	301251
50	137632
36	197274
37	106043
26	195636
20	237956
58	31532
45	276157
33	207668
31	142921
44	217039
19	259169
54	409173
31	73161
27	241431
36	151764
47	131726
35	334291
42	67243
45	370261
70	573446
27	189775
36	312206
23	86939
25	221757
45	213140
24	308673
90	149069
50	69345
37	112158
31	386299
17	61838
26	290286
41	143069
50	145714
45	285570
54	399705
54	186224
38	172918
22	198270
43	307767
19	208630
30	169002
31	186369
42	99203
48	197836
56	140136
21	402230
45	167159
37	116409
38	105161
34	263908
29	189565
24	224059
79	27457
35	240988
39	41017
73	214498
57	186361
35	165799
60	266983
19	165416
54	226497
53	99516
23	177287
57	27385
27	147452
25	144334
38	217926
48	153312
24	126822
67	51415
20	171886
38	216319
54	279337
20	115085
57	453233
34	400943
34	226883
80	138050
40	204585
19	220558
35	198841
21	67244
59	75785
53	85423
41	134724
59	109567
21	132053
52	157413
48	238567
24	153133
49	186256
19	260265
50	131819
39	141584
25	245121
66	22502
30	23778
49	380922
40	173651
38	191137
25	217006
51	22211
23	57711
60	123190
44	110028
53	174102
66	183249
18	240183
44	49665
38	210438
30	53373
36	295706
38	273457
31	165949
26	142152
23	189203
58	179089
44	53956
59	77816
36	74593
42	196158
17	28544
59	662460
22	152328
40	120277
36	180278
19	426589
49	111558
18	243203
38	195686
48	226696
53	118058
33	172237
34	114074
41	171589
20	184271
58	218724
52	134190
45	181964
37	385330
48	242406
40	107584
29	127892
33	160261
51	285200
48	153254
36	294672
31	145924
41	280005
29	66893
20	47039
53	36186
37	159383
28	192010
27	216479
57	274680
23	211345
25	203561
63	170815
65	200565
77	89655
32	234195
40	98466
67	191437
35	77792
24	134181
53	195690
37	94869
44	267464
25	257006
17	81010
47	54260
62	171995
39	245665
18	35855
32	189838
25	629900
30	84119
47	47343
40	103614
38	303092
41	124520
21	220857
32	247481
54	283281
31	25610
42	13769
23	283969
18	185522
65	173309
37	144005
53	205949
50	158948
64	240357
55	243929
63	201700
53	208402
18	120599
33	231826
62	499971
56	227972
58	299680
33	231822
58	185459
44	90582
81	184615
28	173858
28	132326
43	315037
51	175122
23	239577
48	96975
45	61885
48	185870
37	142282
34	334744
63	201600
38	34378
29	180271
33	123833
47	213304
30	296538
35	391937
54	175339
26	60726
39	191103
34	32174
55	176219
33	294434
17	310885
27	171133
53	162951
43	223934
22	23940
52	88073
60	57371
55	73684
39	107164
29	120126
41	54611
61	131117
71	101676
20	403965
33	177083
52	173987
40	352080
26	102400
31	378426
42	210857
63	165775
53	295896
34	238944
48	149640
67	106175
49	191320
28	134771
51	295538
44	120277
27	82393
49	146121
34	162544
27	216178
38	248694
24	219140
29	360401
39	319962
50	115284
42	29702
63	107085
44	204361
58	218312
25	182332
23	127876
20	316702
46	292549
21	203178
63	180099
38	154541
27	95465
41	171839
43	115562
39	42478
48	117054
56	124137
44	107503
24	70261
49	367037
38	258339
36	269509
27	301302
50	369367
46	224582
41	343591
45	53540
46	153536
65	91262
44	238574
35	247558
44	188278
51	194995
74	168782
32	287229
22	202153
58	230586
47	115358
32	78283
64	168854
44	222011
59	157749
34	203814
54	74660
33	292603
44	172364
31	305619
30	157990
18	120243
56	296991
24	174845
23	180475
51	152652
24	172941
39	450770
49	166003
22	204935
42	60949
51	181132
20	408988
49	169515
31	250087
41	208613
35	225172
20	125905
35	165007
46	165346
35	37655
21	172047
45	178530
37	347491
45	208049
18	111019
53	163826
24	117023
35	281982
28	150025
50	176215
38	166062
34	28568
53	53833
46	219967
50	309017
45	353083
29	257992
41	283174
43	185413
29	207513
53	56213
24	100961
35	51700
25	199224
43	70055
38	183683
64	45868
37	94706
48	322183
27	226976
45	262678
41	135056
33	148380
42	270710
29	166220
29	229803
71	172652
29	204796
23	186634
28	106672
55	135339
47	287547
21	197583
33	159737
35	252217
42	202466
33	123031
30	226296
37	232036
19	233779
21	152328
46	481987
42	107563
28	184806
36	188850
39	127573
27	72443
57	142080
50	143353
63	172433
44	67874
38	415578
30	370498
20	140513
44	193882
24	289909
26	284078
42	83953
54	167380
45	112761
37	420040
30	42900
36	32086
19	291181
22	71009
65	200764
52	133336
36	166193
22	240229
28	334032
30	184901
47	132912
29	217290
36	184655
30	242739
52	279344
62	166691
42	154374
33	31740
17	129396
