age	fnlwgt
25	265632
43	50039
38	163274
64	52421
37	94706
48	368209
27	181581
45	262678
41	142164
33	98920
42	270710
29	132976
29	187594
71	230203
29	204796
23	466585
28	2133440
55	135339
47	287547
21	197583
33	159737
35	252217
42	179970
33	123031
30	226296
37	232036
19	374046
21	152328
46	550842
42	107563
28	127452
36	188850
39	127573
27	72443
57	149558
50	477843
63	172433
44	54299
38	415578
30	370498
20	224821
44	155106
24	289909
26	284078
42	47973
54	167380
45	100232
37	420040
30	42900
36	32086
19	232945
22	71009
65	200764
52	213338
36	221591
22	240229
28	267226
30	184901
47	96663
29	217290
36	184655
30	242739
52	186229
62	166691
42	112272
33	31740
17	199071
54	195015
